Asia,Middle East and North Africa,North America,Center America and the Caribbean,Sub-Saharan Africa,Australia and Oceania,Europe
Mongolia,Saudi Arabia,United States of America,Jamaica,Angola,Fiji,Albania
Turkmenistan,Oman,Canada,Panama,Benin,Palau,Andorra
Maldives,Israel,Mexico,Belize,Botswana,Australia,Armenia
Laos,Morocco,Greenland,The Bahamas,Burkina Faso,Marshall Islands,Austria
Sri Lanka,Qatar,,Honduras,Burundi,Federated States of Micronesia,Belarus
Bangladesh,Algeria,,Grenada,Cameroon,East Timor,Belgium
Myanmar,Libya,,Barbados,Cape Verde,Samoa,Bosnia and Herzegovina
China,Azerbaijan,,Dominican Republic,Central African Republic,New Zealand,Bulgaria
South Korea,Yemen,,Antigua and Barbuda,Chad,Tuvalu,Croatia
Philippines,United Arab Emirates,,Guatemala,Comoros,Nauru,Cyprus
Kazakhstan,Iraq,,Dominica,Cote d'Ivoire,Solomon Islands,Czech Republic
Taiwan,Egypt,,Saint Kitts and Nevis,Democratic Republic of the Congo,Vanuatu,Denmark
Bhutan,Turkey,,Saint Lucia,Djibouti,Kiribati,Estonia
Malaysia,Iran,,Trinidad and Tobago,Equatorial Guinea,Paua New Guinea,Finland
Vietnam,Kuwait,,Cuba,Eritrea,Tonga,France
Kyrgyzstan,Lebanon,,Saint Vincent and the Grenadines,Ethiopia,,Georgia
Singapore,Bahrain,,Haiti,Gabon,,Germany
Japan,Jordan,,El Salcador,Ghana,,Greece
Uzbekistan,Somalia,,Nicaragua,Guinea,,Hungary
Brunei,Pakistan,,Costa Rica,Guinea-Bissau,,Iceland
Indonesia,Syria,,,Kenya,,Ireland
Cambodia,Afghanistan,,,Lesotho,,Italy
India,Tunisia,,,Liberia,,Kosovo
Tajikistan,,,,Madagascar,,Latvia
Nepal,,,,Malawi,,Liechtenstein
Thailand,,,,Mali,,Lithuania
North Korea,,,,Mauritania,,Luxembourg
,,,,Mauritius ,,Macedonia
,,,,Mozambique,,Malta
,,,,Namibia,,Moldova 
,,,,Niger,,Monaco
,,,,Nigeria,,Montenegro
,,,,Republic of the Congo,,Netherlands
,,,,Rwanda,,Norway
,,,,Sao Tome and Principe,,Poland
,,,,Senegal,,Portugal
,,,,Seychelles ,,Romania
,,,,Sierra Leone,,Russia
,,,,South Africa,,San Marino
,,,,South Sudan,,Serbia
,,,,Sudan,,Slovakia
,,,,Swaziland,,Slovenia
,,,,Tanzania,,Spain
,,,,The Gambia,,Sweden
,,,,Togo,,Switzerland
,,,,Uganda,,Ukraine
,,,,Zambia,,United Kingdom
,,,,Zimbabwe,,Vatican City